序号,项目名称,项目全名,项目链接,仓库描述,主页网址,项目语言,星标数,Fork数,Watch数,Open_Issues,默认分支,创建时间,更新时间,推送时间,仓库大小_KB,是否为Fork,是否私有,Topics,License,Owner,Owner类型
1074,my-tv-0,ABC1319/my-tv-0,https://github.com/ABC1319/my-tv-0,电视网络视频播放软件，可以自定义视频源,,,0,1,0,0,main,2024-03-15T16:07:10Z,2024-03-15T16:07:10Z,2024-03-14T07:57:58Z,9317,True,False,,,ABC1319,User
1075,my-tv-server,ABC1319/my-tv-server,https://github.com/ABC1319/my-tv-server,启动一个本地的视频源服务。为了更好的稳定性、隐私性、便捷性，可以把一个视频源文件发布到一个本地地址，添加到本地视频播放器。,,,0,0,0,0,main,2024-03-15T16:05:56Z,2024-03-15T16:05:56Z,2024-03-15T08:55:35Z,269,True,False,,,ABC1319,User
1076,Learning-Markdown,ABC1319/Learning-Markdown,https://github.com/ABC1319/Learning-Markdown,Markdown guidance and reference(Markdown 入门参考),,,0,0,0,0,master,2024-03-15T15:35:34Z,2024-03-15T15:35:34Z,2015-09-15T09:05:29Z,3910,True,False,,,ABC1319,User
1077,RunningCheese-Firefox,ABC1319/RunningCheese-Firefox,https://github.com/ABC1319/RunningCheese-Firefox,A Graceful and Powerful Customized Firefox,https://www.runningcheese.com/firefox,,0,0,0,0,master,2024-03-14T08:36:33Z,2024-03-14T08:36:33Z,2024-02-18T13:13:47Z,230872,True,False,,,ABC1319,User
1078,Awesome-Hupu,ABC1319/Awesome-Hupu,https://github.com/ABC1319/Awesome-Hupu,虎扑评分导航,,,0,0,0,0,main,2024-03-14T08:34:00Z,2024-03-14T08:34:00Z,2024-01-15T11:53:44Z,18,True,False,,,ABC1319,User
1079,rjss,ABC1319/rjss,https://github.com/ABC1319/rjss,,,,0,0,0,0,main,2024-03-14T08:14:07Z,2024-03-14T08:14:07Z,2023-09-13T02:27:04Z,31,True,False,,,ABC1319,User
1080,RunningCheese-Chrome,ABC1319/RunningCheese-Chrome,https://github.com/ABC1319/RunningCheese-Chrome,,,,0,0,0,0,main,2024-03-14T07:46:24Z,2024-03-14T07:46:24Z,2023-06-11T03:49:19Z,1486,True,False,,,ABC1319,User
1081,Awesome-Bookmarklets,ABC1319/Awesome-Bookmarklets,https://github.com/ABC1319/Awesome-Bookmarklets,,,,0,0,0,0,main,2024-03-14T07:44:39Z,2024-03-14T07:44:39Z,2022-12-30T04:49:48Z,182,True,False,,,ABC1319,User
1082,Awesome-Zlibrary,ABC1319/Awesome-Zlibrary,https://github.com/ABC1319/Awesome-Zlibrary,,,,0,0,0,0,main,2024-03-14T07:40:45Z,2024-03-14T07:40:45Z,2023-02-17T05:14:26Z,6,True,False,,,ABC1319,User
1083,Awesome-AI,ABC1319/Awesome-AI,https://github.com/ABC1319/Awesome-AI,Awesome AI，你的《人工智能指南》！,https://www.runningcheese.com/aaa,,0,0,0,0,main,2024-03-14T07:25:27Z,2024-03-14T07:25:27Z,2024-03-06T09:54:39Z,2682,True,False,,,ABC1319,User
1084,Awesome-Extensions,ABC1319/Awesome-Extensions,https://github.com/ABC1319/Awesome-Extensions,"Awesome Extensions for Chrome, Edge and Firefox.",,,0,0,0,0,main,2024-03-14T07:24:18Z,2024-03-14T07:24:18Z,2022-05-13T16:20:35Z,5974,True,False,,,ABC1319,User
1085,Awesome-Userscripts,ABC1319/Awesome-Userscripts,https://github.com/ABC1319/Awesome-Userscripts,脚本,,,0,0,0,0,main,2024-03-14T06:56:17Z,2024-03-14T06:56:17Z,2022-05-13T16:20:10Z,121,True,False,,,ABC1319,User
1086,chrome_extension,ABC1319/chrome_extension,https://github.com/ABC1319/chrome_extension,优质chrome扩展合集,,,0,0,0,0,main,2024-03-14T00:10:10Z,2024-03-14T00:10:11Z,2022-02-04T13:20:01Z,40,True,False,,,ABC1319,User
1087,yangleir.github.io,ABC1319/yangleir.github.io,https://github.com/ABC1319/yangleir.github.io,blog,,,0,0,0,0,master,2024-03-12T16:11:13Z,2024-03-12T16:11:13Z,2024-03-02T13:42:49Z,699699,True,False,,,ABC1319,User
1088,love,ABC1319/love,https://github.com/ABC1319/love,一个教学内容非常全面的课本网站,,,0,0,0,0,main,2024-03-09T00:14:48Z,2024-03-09T00:14:48Z,2022-04-26T13:07:14Z,4,True,False,,,ABC1319,User
1089,bookmark1,ABC1319/bookmark1,https://github.com/ABC1319/bookmark1,:pushpin:一个java程序员日常书签导航~在线工具，API，帮助手册，资源，阅读:hotsprings:,https://kingschan1204.github.io/bookmark/,,0,0,0,0,master,2024-02-28T11:24:22Z,2024-02-28T11:24:22Z,2022-11-22T03:57:46Z,83,True,False,,Apache-2.0,ABC1319,User
1090,Neveryu.github.io,ABC1319/Neveryu.github.io,https://github.com/ABC1319/Neveryu.github.io,我的博客（Hexo + NexT + GitPage）,https://git.io/fA2AX,,0,0,0,0,master,2024-02-28T11:14:15Z,2024-02-28T11:14:15Z,2023-10-24T22:04:58Z,176954,True,False,,,ABC1319,User
1091,web-bookmarks,ABC1319/web-bookmarks,https://github.com/ABC1319/web-bookmarks,:bookmark::bookmark::bookmark:侧重前端的收藏书签 — 技术书签,https://git.io/fA2AM,,0,0,0,0,master,2024-02-28T11:09:51Z,2024-02-28T11:09:51Z,2023-11-04T11:03:41Z,37707,True,False,,MIT,ABC1319,User
1092,MyBookmarks,ABC1319/MyBookmarks,https://github.com/ABC1319/MyBookmarks,个人书签整理和分类,,,0,0,0,0,master,2024-02-28T11:00:52Z,2024-02-28T11:00:52Z,2022-07-22T12:57:35Z,143,True,False,,,ABC1319,User
1093,ebooks,ABC1319/ebooks,https://github.com/ABC1319/ebooks,收藏的一些经典的历史、政治、心理、哲学、数学、计算机方面电子书(约10万本）,https://kska32.github.io/ebooks/,,0,0,0,0,master,2024-02-28T01:24:34Z,2024-02-28T01:24:34Z,2023-09-28T05:13:51Z,4418,True,False,,,ABC1319,User
1094,821.github.io,ABC1319/821.github.io,https://github.com/ABC1319/821.github.io,私人網站，非請勿入,,,0,0,0,0,master,2024-02-28T01:09:46Z,2024-02-28T01:09:46Z,2016-07-06T18:52:41Z,17516,True,False,,,ABC1319,User
1095,BookmarkEditor.vim,ABC1319/BookmarkEditor.vim,https://github.com/ABC1319/BookmarkEditor.vim,此插件用于将目录文本结构化，以便使用PdgCntEditor给PDF批量添加书签。,,,0,0,0,0,main,2024-02-26T14:35:55Z,2024-02-26T14:35:55Z,2024-02-24T13:29:13Z,36,True,False,,GPL-3.0,ABC1319,User
1096,YingWenOCR,ABC1319/YingWenOCR,https://github.com/ABC1319/YingWenOCR,,,,0,0,0,0,master,2024-02-12T10:25:13Z,2024-02-12T10:25:13Z,2024-01-31T13:53:57Z,7736,True,False,,GPL-3.0,ABC1319,User
1097,SingleFile,ABC1319/SingleFile,https://github.com/ABC1319/SingleFile,Web Extension for saving a faithful copy of a complete web page in a single HTML file,,,0,0,0,0,master,2024-02-11T14:30:37Z,2024-02-11T14:30:37Z,2024-02-06T20:47:22Z,342925,True,False,,AGPL-3.0,ABC1319,User
1098,xiaoli1999.github.io,ABC1319/xiaoli1999.github.io,https://github.com/ABC1319/xiaoli1999.github.io,小黎充电站,https://xiaoli1999.github.io/,,0,0,0,0,main,2024-02-11T06:47:20Z,2024-02-11T06:47:20Z,2023-01-10T06:08:46Z,1334,True,False,,,ABC1319,User
1099,custom-avatar,ABC1319/custom-avatar,https://github.com/ABC1319/custom-avatar,"快速定制中国传统节日头像，国庆国旗头像。customize avatars for traditional Chinese festivals such as National Day, Mid-Autumn Festival, and Spring Festival.""",https://www.xiaoli.vip/custom-avatar/,,0,0,0,0,master,2024-02-11T06:40:25Z,2024-02-11T06:40:26Z,2023-12-22T02:50:37Z,13471,True,False,,MIT,ABC1319,User
1100,home,ABC1319/home,https://github.com/ABC1319/home,炫酷流光个人主页源码,https://sun0225sun.github.io/home,,0,0,0,0,main,2023-11-08T10:19:53Z,2024-02-10T22:52:35Z,2023-02-18T05:09:30Z,70,True,False,,,ABC1319,User
1101,keymap,ABC1319/keymap,https://github.com/ABC1319/keymap,A very simple page to visualize keyboard shortcuts,,,0,0,0,0,master,2024-02-09T14:10:18Z,2024-02-09T14:10:18Z,2024-02-06T03:20:45Z,2264,True,False,,MIT,ABC1319,User
1102,bilimiao2,ABC1319/bilimiao2,https://github.com/ABC1319/bilimiao2,bilimiao 2.0,,,0,0,0,0,master,2024-02-08T10:55:23Z,2024-02-08T10:55:23Z,2024-02-07T13:00:22Z,44233,True,False,,GPL-3.0,ABC1319,User
1103,oh-my-foss-android,ABC1319/oh-my-foss-android,https://github.com/ABC1319/oh-my-foss-android,个人收集的实用、良心开源安卓软件,,,0,0,0,0,main,2024-02-04T06:51:01Z,2024-02-04T06:51:01Z,2024-02-03T20:22:12Z,121,True,False,,CC-BY-SA-4.0,ABC1319,User
1104,git-simple-guide,ABC1319/git-simple-guide,https://github.com/ABC1319/git-simple-guide,一个写给从未使用过Git同学的简单操作指南,,,0,0,0,0,master,2024-02-03T02:03:26Z,2024-02-03T02:03:26Z,2019-09-19T07:22:05Z,8791,True,False,,MIT,ABC1319,User
1105,HexoEditor,ABC1319/HexoEditor,https://github.com/ABC1319/HexoEditor,this markdown Editor for hexo blog,,,0,0,0,0,master,2024-02-02T16:03:42Z,2024-02-02T16:03:42Z,2019-02-21T06:09:06Z,22124,True,False,,GPL-3.0,ABC1319,User
1106,yunyoujun.github.io,ABC1319/yunyoujun.github.io,https://github.com/ABC1319/yunyoujun.github.io,云游君的小站，一个自言自语的地方。,https://yunyoujun.cn,,0,0,0,0,hexo,2024-02-01T17:07:38Z,2024-02-01T17:07:39Z,2024-02-01T17:18:39Z,30626,True,False,,,ABC1319,User
1107,IT_book,ABC1319/IT_book,https://github.com/ABC1319/IT_book,"本项目收藏这些年来看过或者听过的一些不错的常用的上千本书籍，没准你想找的书就在这里呢，包含了互联网行业大多数书籍和面试经验题目等等。有人工智能系列（常用深度学习框架TensorFlow、pytorch、keras。NLP、机器学习，深度学习等等），大数据系列(Spark,Hadoop,Scala,kafka等)，程序员必修系列（C、C++、java、数据结构、linux，设计模式、数据库等等）",,,0,0,0,0,master,2024-02-01T17:06:28Z,2024-02-01T17:06:28Z,2020-11-28T07:15:08Z,79,True,False,,,ABC1319,User
1108,website,ABC1319/website,https://github.com/ABC1319/website,网站设计一类源码仓库,,,0,0,0,0,master,2024-02-01T17:04:55Z,2024-02-01T17:04:55Z,2020-03-13T13:48:28Z,173173,True,False,,Apache-2.0,ABC1319,User
1109,XMuli,ABC1319/XMuli,https://github.com/ABC1319/XMuli,偕臧的小站,https://ifmet.cn,,0,0,0,0,master,2024-02-01T17:03:21Z,2024-02-01T17:03:21Z,2024-01-09T11:55:56Z,3445,True,False,,,ABC1319,User
1110,zhuzhuyule.github.io,ABC1319/zhuzhuyule.github.io,https://github.com/ABC1319/zhuzhuyule.github.io,my web repository,,,0,0,0,0,master,2024-02-01T16:57:17Z,2024-02-01T16:57:17Z,2021-10-18T15:07:45Z,1999,True,False,,,ABC1319,User
1111,github-chinese,ABC1319/github-chinese,https://github.com/ABC1319/github-chinese,GitHub 汉化插件，GitHub 中文化界面。 (GitHub Translation To Chinese),https://maboloshi.github.io/github-chinese/,,0,0,0,0,gh-pages,2024-02-01T16:54:54Z,2024-02-01T16:54:54Z,2024-01-31T10:14:10Z,20348,True,False,,GPL-3.0,ABC1319,User
1112,Blog,ABC1319/Blog,https://github.com/ABC1319/Blog,,https://maboloshi.github.io/Blog/,,0,0,0,0,hexo,2024-02-01T16:54:18Z,2024-02-01T16:54:19Z,2024-01-22T14:44:12Z,1504,True,False,,,ABC1319,User
1113,jdrdh,ABC1319/jdrdh,https://github.com/ABC1319/jdrdh,江大人导航，借鉴北邮人导航和anywhereanything。,,,0,0,0,0,master,2024-02-01T07:53:31Z,2024-02-01T07:53:31Z,2017-06-01T11:06:11Z,14,True,False,,,ABC1319,User
